Date,Open,High,Low,Close,Adj Close,Volume
5/21/2010,12.27,12.755,12.195,12.645,10.525883,25733200
5/24/2010,12.58,12.72,12.455,12.535,10.434315,17079600
5/25/2010,12.22,12.495,12.035,12.46,10.371883,23753800
5/26/2010,12.395,12.675,12.34,12.355,10.284484,24204800
5/27/2010,12.73,13.02,12.65,13.01,10.829714,20103600
5/28/2010,12.995,13.165,12.835,12.945,10.775607,16523600
6/1/2010,12.875,13.155,12.76,12.85,10.69653,19534400
6/2/2010,12.865,13.3,12.785,13.29,11.062789,19915000
6/3/2010,13.27,13.46,13.23,13.43,11.17933,18458200
6/4/2010,13.13,13.415,13,13.075,10.883822,22817800
6/7/2010,13.125,13.125,12.755,12.77,10.629937,19664200
6/8/2010,12.79,12.955,12.6,12.925,10.758957,19871200
6/9/2010,13.02,13.36,13.005,13.155,10.950414,23721200
6/10/2010,13.375,13.505,13.2,13.49,11.229273,18876400
6/11/2010,13.385,13.605,13.37,13.575,11.300025,17275800
6/14/2010,13.72,13.93,13.64,13.73,11.429052,17480200
6/15/2010,13.825,13.97,13.705,13.965,11.624671,17347800
6/16/2010,13.915,14.085,13.81,13.995,11.649639,18969600
6/17/2010,14.005,14.055,13.8,13.99,11.64548,14355800
6/18/2010,13.99,14.18,13.87,14.045,11.691262,18838000
6/21/2010,14.12,14.25,13.93,14.01,11.662127,13238600
6/22/2010,14.035,14.24,13.575,13.615,11.333323,20533200
6/23/2010,13.6,13.76,13.485,13.66,11.370784,15792000
6/24/2010,13.55,13.635,13.3,13.335,11.100245,12959400
6/25/2010,13.415,13.525,13.32,13.405,11.158514,17869600
6/28/2010,13.535,13.54,13.18,13.195,10.983707,14278200
6/29/2010,12.995,13.05,12.44,12.505,10.409345,37893400
6/30/2010,12.54,12.655,12.135,12.15,10.113835,33930000
7/1/2010,12.215,12.375,11.84,12.33,10.263674,31499400
7/2/2010,12.38,12.395,12.055,12.175,10.134648,16930800
7/6/2010,12.29,12.345,11.735,11.805,9.826656,29284800
7/7/2010,11.83,12.225,11.76,12.2,10.155458,18170400
7/8/2010,12.28,12.465,12.195,12.42,10.338588,20986400
7/9/2010,12.44,12.67,12.42,12.65,10.530044,14174200
7/12/2010,12.635,12.76,12.49,12.635,10.517557,12906200
7/13/2010,12.78,13.035,12.735,12.97,10.796417,15921200
7/14/2010,12.93,13.075,12.875,13,10.821389,11916200
7/15/2010,13.04,13.09,12.82,13.065,10.875501,12583400
7/16/2010,13.1,13.22,12.635,12.675,10.550855,19583800
7/19/2010,12.69,12.855,12.54,12.745,10.609123,14539200
7/20/2010,12.5,12.895,12.425,12.885,10.725662,14836000
7/21/2010,12.9,12.99,12.565,12.585,10.475938,24130800
7/22/2010,12.395,12.63,12.175,12.575,10.467611,38846000
7/23/2010,12.58,12.75,12.47,12.69,10.563339,17897800
7/26/2010,12.635,12.785,12.49,12.695,10.567503,19502000
7/27/2010,12.795,12.795,12.475,12.59,10.480096,17199400
7/28/2010,12.61,12.68,12.405,12.495,10.401018,15432400
7/29/2010,12.535,12.6,12.18,12.41,10.330264,13412800
7/30/2010,12.225,12.475,12.125,12.425,10.342751,15682400
8/2/2010,12.51,12.53,12.31,12.34,10.326013,16674000
8/3/2010,12.34,12.43,12.185,12.36,10.342751,14378000
8/4/2010,12.42,12.62,12.345,12.59,10.535211,14660600
8/5/2010,12.515,12.62,12.38,12.59,10.535211,15344600
